symbol,token
AXISBANK-EQ,5900
AVONMORE-EQ,13557
ICICIBANK-EQ,4963
KAJARIACER-EQ,1808
PRESTIGE-EQ,20302
RBLBANK-EQ,18391
ENGINERSIN-EQ,4907
ASAL-EQ,10634
GREAVESCOT-EQ,1235
CAREERP-EQ,20086
CCHHL-EQ,6385
VIPIND-EQ,3703
LGBFORGE-EQ,16845
GUFICBIO-EQ,11606
INDIGOPNTS-EQ,2048
INFRABEES-EQ,20072
CAMPUS-EQ,9362
MOHITIND-EQ,29423
GVKPIL-EQ,13226
EPL-EQ,981
ANIKINDS-EQ,16657
IDBI-EQ,1476
PGHL-EQ,940
NAGREEKCAP-EQ,14942
JAGSNPHARM-EQ,4410
ICICICONSU-EQ,6446
COUNCODOS-EQ,16986
BOROLTD-EQ,19401
WILLAMAGOR-EQ,3772
AXISNIFTY-EQ,21252
BANKBARODA-EQ,4668
BESTAGRO-EQ,2306
KOTAKLIQ-EQ,13950
TEXRAIL-EQ,21828
IRISDOREME-EQ,2275
EVERESTIND-EQ,993
UPL-EQ,11287
UTISENSETF-EQ,10515
ESCORTS-EQ,958
HAPPSTMNDS-EQ,48
ALBERTDAVD-EQ,17256
BAJAJ-AUTO-EQ,16669
LICNFNHGP-EQ,15229
VIPULLTD-EQ,8424
DTIL-EQ,6227
